iter	Logloss
0	0.6176231698
1	0.5526908698
2	0.5027340392
3	0.4637188825
4	0.4315420047
5	0.4054953206
6	0.3842680213
7	0.3668372654
8	0.3533436799
9	0.340749794
10	0.330481758
11	0.3211345732
12	0.3146255466
13	0.3081528629
14	0.3028149584
15	0.2989534598
16	0.2948852563
17	0.292227008
18	0.288751842
19	0.2856994808
20	0.2828046862
21	0.2806377047
22	0.2783092026
23	0.2762952393
24	0.274660808
25	0.2728898139
26	0.2714581387
27	0.2702271611
28	0.2689934062
29	0.2681407948
30	0.2672974187
31	0.2662292331
32	0.2653192869
33	0.2644036415
34	0.2637048904
35	0.2629579434
36	0.2622215846
37	0.2615518026
38	0.2610549248
39	0.2606020146
40	0.2600779287
41	0.2595910966
42	0.2590252194
43	0.2585925261
44	0.2582732119
45	0.2578080705
46	0.2574897757
47	0.2571088832
48	0.2567332091
49	0.2564679465
50	0.2561466759
51	0.2558543197
52	0.2555380198
53	0.2551774839
54	0.2549676837
55	0.2546720587
56	0.2544402628
57	0.2541709059
58	0.2538438409
59	0.253631501
60	0.2533693968
61	0.2531742538
62	0.2529772815
63	0.2527218715
64	0.2525239387
65	0.2523660927
66	0.252201276
67	0.2519715998
68	0.2518240659
69	0.2516829655
70	0.2515321079
71	0.2513712608
72	0.251243464
73	0.2510923312
74	0.2508963452
75	0.2507410931
76	0.2506191802
77	0.2504644072
78	0.250309417
79	0.2502121055
80	0.2500890596
81	0.2499753099
82	0.2498509732
83	0.2497624903
84	0.2496556769
85	0.2495714617
86	0.2494341222
87	0.2492989093
88	0.2492160442
89	0.2491073619
90	0.2489862145
91	0.2488807644
92	0.2487930955
93	0.2487018967
94	0.2486027422
95	0.2484854477
96	0.2483793167
97	0.2482716663
98	0.2481614413
99	0.2480631196
100	0.247950355
101	0.2478499613
102	0.2477601662
103	0.2476646847
104	0.2475792823
105	0.247471436
106	0.2473973871
107	0.2473379653
108	0.2472442093
109	0.2471729298
110	0.2470925142
111	0.247023994
112	0.246938481
113	0.2468674224
114	0.2467955509
115	0.2467209767
116	0.2466657406
117	0.2465934322
118	0.2465052733
119	0.246440998
120	0.24638273
121	0.2462906239
122	0.2462351746
123	0.2461691055
124	0.2461000115
125	0.2460390351
126	0.2459655133
127	0.2459126189
128	0.2458501085
129	0.2457860299
130	0.2457037287
131	0.2456467855
132	0.2455914826
133	0.2455300735
134	0.2454786435
135	0.2454153703
136	0.2453280074
137	0.2452659915
138	0.2452128448
139	0.2451533794
140	0.2450961165
141	0.2450447246
142	0.2449917731
143	0.2449299139
144	0.244874657
145	0.2448306482
146	0.244790645
147	0.2447132852
148	0.2446620142
149	0.2446297196
150	0.2445663467
151	0.2445105571
152	0.2444710823
153	0.2444229673
154	0.2443651167
155	0.2443143623
156	0.2442627078
157	0.2442208918
158	0.2441771202
159	0.2441164965
160	0.2440660543
161	0.244006188
162	0.2439642738
163	0.243911541
164	0.24385371
165	0.2437944578
166	0.2437308052
167	0.2436830372
168	0.2436361469
169	0.2435872015
170	0.2435353828
171	0.2434857988
172	0.2434426108
173	0.2433904337
174	0.2433490783
175	0.2432999499
176	0.2432609269
177	0.2432123876
178	0.2431639632
179	0.2431076099
180	0.2430575901
181	0.2430298039
182	0.2429975722
183	0.2429366203
184	0.2428955081
185	0.2428463693
186	0.2428084478
187	0.2427661722
188	0.2427216164
189	0.2426625779
190	0.2426119526
191	0.2425664086
192	0.2425140367
193	0.2424716416
194	0.2424260841
195	0.2423727379
196	0.2423310431
197	0.2422814728
198	0.2422352586
199	0.2422029002
200	0.2421695662
201	0.2421305963
202	0.2420942214
203	0.2420406428
204	0.2419911098
205	0.2419347192
206	0.2418939108
207	0.2418601915
208	0.2418162463
209	0.2417737052
210	0.2417241743
211	0.2416747946
212	0.2416335069
213	0.2415868861
214	0.2415398627
215	0.2414979225
216	0.2414507049
217	0.2414213471
218	0.2413660548
219	0.2413342297
220	0.2413000208
221	0.2412612361
222	0.2412293235
223	0.2411876661
224	0.2411595273
225	0.2411158158
226	0.241082467
227	0.2410456786
228	0.2410148292
229	0.2409592128
230	0.2409071851
231	0.2408825174
232	0.240844814
233	0.2408078435
234	0.2407748362
235	0.2407271777
236	0.2406936025
237	0.240661994
238	0.2406202845
239	0.2405682822
240	0.2405174427
241	0.2404737747
242	0.240432201
243	0.2403867677
244	0.2403387091
245	0.240312033
246	0.2402827652
247	0.2402631635
248	0.2402323914
249	0.2401930441
250	0.2401516506
251	0.2401097807
252	0.2400748846
253	0.2400418398
254	0.2400012728
255	0.2399658728
256	0.2399232429
257	0.2398977524
258	0.2398607129
259	0.2398187266
260	0.2397741491
261	0.2397447227
262	0.2397064119
263	0.2396791848
264	0.2396388552
265	0.2396094234
266	0.2395675623
267	0.2395206741
268	0.2394855346
269	0.2394605935
270	0.2394163258
271	0.2393755378
272	0.239334358
273	0.2393002639
274	0.2392664272
275	0.2392351995
276	0.239193755
277	0.2391575018
278	0.239112546
279	0.2390806094
280	0.2390442151
281	0.2390066792
282	0.2389744763
283	0.2389529901
284	0.2389157913
285	0.2388764316
286	0.2388428527
287	0.2388074405
288	0.2387723564
289	0.2387256316
290	0.2386828138
291	0.2386346577
292	0.2385938259
293	0.2385645148
294	0.2385337152
295	0.2385043508
296	0.2384681042
297	0.2384386642
298	0.2384035587
299	0.2383745708
300	0.238342289
301	0.2383139553
302	0.2382696837
303	0.2382366047
304	0.2382061638
305	0.2381768363
306	0.2381432103
307	0.2381169476
308	0.2380780411
