iter	Passed	Remaining
0	14	14525
1	27	13958
2	41	13672
3	54	13550
4	67	13416
5	80	13418
6	93	13210
7	106	13248
8	120	13254
9	133	13242
10	147	13279
11	161	13289
12	174	13236
13	187	13201
14	199	13130
15	213	13139
16	227	13138
17	239	13088
18	253	13101
19	267	13129
20	287	13385
21	301	13399
22	314	13368
23	328	13339
24	342	13352
25	355	13304
26	368	13270
27	381	13251
28	394	13212
29	408	13199
30	421	13171
31	436	13189
32	450	13189
33	462	13134
34	475	13122
35	493	13217
36	506	13190
37	519	13157
38	533	13144
39	546	13123
40	558	13074
41	571	13035
42	584	13008
43	598	13000
44	611	12968
45	623	12939
46	636	12903
47	652	12934
48	665	12910
49	678	12888
50	691	12858
51	703	12827
52	717	12814
53	728	12764
54	742	12759
55	756	12754
56	769	12737
57	783	12725
58	797	12718
59	810	12699
60	824	12696
61	839	12697
62	852	12685
63	865	12654
64	878	12641
65	892	12636
66	905	12614
67	917	12578
68	932	12579
69	946	12573
70	960	12562
71	971	12521
72	985	12509
73	997	12479
74	1010	12461
75	1023	12446
76	1036	12426
77	1050	12411
78	1062	12386
79	1075	12367
80	1088	12349
81	1102	12337
82	1115	12327
83	1127	12295
84	1140	12277
85	1154	12272
86	1167	12253
87	1181	12245
88	1193	12220
89	1207	12205
90	1220	12186
91	1232	12166
92	1244	12138
93	1261	12155
94	1275	12146
95	1287	12128
96	1302	12121
97	1315	12112
98	1330	12105
99	1343	12092
100	1357	12085
101	1370	12064
102	1383	12051
103	1397	12036
104	1413	12045
105	1428	12049
106	1442	12041
107	1456	12027
108	1469	12009
109	1483	12005
110	1496	11982
111	1509	11969
112	1523	11961
113	1539	11965
114	1552	11945
115	1565	11932
116	1579	11920
117	1593	11912
118	1607	11902
119	1620	11884
120	1635	11879
121	1650	11876
122	1663	11859
123	1678	11854
124	1691	11840
125	1704	11822
126	1717	11802
127	1730	11789
128	1744	11777
129	1757	11763
130	1770	11747
131	1784	11733
132	1797	11714
133	1810	11700
134	1823	11686
135	1837	11673
136	1850	11657
137	1864	11645
138	1876	11625
139	1890	11613
140	1903	11594
141	1916	11582
142	1931	11572
143	1945	11562
144	1959	11552
145	1976	11563
146	1990	11547
147	2003	11531
148	2016	11519
149	2030	11505
150	2043	11491
151	2057	11476
152	2070	11459
153	2083	11448
154	2097	11433
155	2109	11415
156	2122	11397
157	2136	11386
158	2150	11372
159	2163	11359
160	2177	11346
161	2191	11335
162	2205	11322
163	2219	11311
164	2232	11297
165	2248	11297
166	2261	11280
167	2275	11270
168	2289	11259
169	2302	11243
170	2316	11230
171	2330	11218
172	2342	11199
173	2356	11186
174	2369	11170
175	2383	11159
176	2397	11148
177	2411	11134
178	2423	11114
179	2436	11100
180	2450	11087
181	2464	11078
182	2478	11063
183	2491	11050
184	2504	11035
185	2519	11025
186	2533	11013
187	2547	11002
188	2560	10987
189	2574	10976
190	2588	10964
191	2602	10953
192	2615	10936
193	2629	10924
194	2643	10914
195	2657	10900
196	2671	10889
197	2684	10872
198	2697	10859
199	2711	10845
200	2724	10829
201	2738	10817
202	2752	10807
203	2766	10795
204	2779	10780
205	2793	10768
206	2807	10754
207	2819	10737
208	2832	10721
209	2845	10706
210	2859	10691
211	2872	10677
212	2886	10663
213	2900	10653
214	2915	10643
215	2929	10632
216	2942	10617
217	2957	10607
218	2971	10596
219	2985	10583
220	2998	10568
221	3012	10556
222	3026	10545
223	3040	10533
224	3054	10521
225	3069	10511
226	3082	10496
227	3096	10483
228	3109	10470
229	3123	10456
230	3136	10442
231	3149	10426
232	3163	10414
233	3178	10403
234	3191	10389
235	3205	10376
